  What is your gender?  ,What type of institution did you attend prior to university  ,  What type of Institution are you currently enrolled in?  ,  What is your field of study?  ,Current University Admission Criteria ,What is the approximate cost of your semester fee? (An estimate is fine.) ,How much financial difficulty do you experience in paying your university fees?  ,Does your university offer financial aid or scholarships?  ,What is your CGPA,How would you rate the level of academic stress you experience in your university?  ,How would you rate your professors' support and approachability?  ,"How frequently do professors use technology (e.g., online resources, learning management systems, multimedia tools) in their teaching?  ",Have you had the opportunity to engage in interdisciplinary courses or projects at your university?  ,"How often do you participate in extracurricular activities (clubs, sports, student organizations, cultural events) at your university?  ",How satisfied are you with the career counseling services provided at your university?  ,"What are your post-graduation plans?
",How long does it typically take you to commute to university?  ,What are the challenges you face in your studies? (Check all that apply),Would you suggest the institution you are studying at to your sibling?,Column 20,Column 21,Column 22
Female,Private School,Public (Government-funded),Islamic studies ,"Academic performance (e.g., high school grades, CGPA)",Below 50k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Supportive but not very approachable,Very frequently (Almost every class),"Yes, occasionally",Never,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",More than 90 minutes,Financial constraints,"Yes, with some reservations",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","No, my university does not offer financial aid or scholarships.",3.6 - 4.0,High stress,Not very supportive or approachable,Rarely (Seldom used),"No, but I would like to",Never,Dissatisfied,Seeking employment,15–30 minutes,"Financial constraints, Family responsibilities",I'm unsure/Not sure yet,,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,Moderate stress,Very supportive and approachable,Frequently (Most classes),"Yes, occasionally",Rarely,Neutral,Seeking employment,60– 90 minutes,"Financial constraints, Support from peers and faculty, Availability of resources (e.g., library, online materials)","Yes, definitely",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,Very easy (I do not face any financial difficulty in paying my fees),"Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Moderate stress,Very supportive and approachable,Frequently (Most classes),"No, but I would like to",Never,Neutral,Starting a business,More than 90 minutes,Academic workload,I'm unsure/Not sure yet,,,
Female,Homeschooling,Private,"Sciences (e.g., Physics, Chemistry, Biology)","Extracurricular achievements (e.g., sports, arts, leadership roles)",100k - 150k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,Very high stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"No, but I would like to",Occasionally,Very dissatisfied,Starting a business,60– 90 minutes,Family responsibilities,"No, I wouldn't suggest it",,,
Male,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,Supportive but not very approachable,Occasionally (Some classes),"Yes, occasionally",Rarely,Very satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",60– 90 minutes,Family responsibilities,"Yes, definitely",,,
Male,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,Supportive but not very approachable,Occasionally (Some classes),"Yes, occasionally",Rarely,Very satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",60– 90 minutes,Family responsibilities,"Yes, definitely",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,Easy (Manage to pay without much difficulty),"Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Very high stress,"Neutral (Supportive at times, less approachable)",Occasionally (Some classes),"Yes, frequently",Rarely,Very dissatisfied,Seeking employment,31–60 minutes,"Academic workload, Family responsibilities","Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,Very easy (I do not face any financial difficulty in paying my fees),"Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Moderate stress,Not very supportive or approachable,Frequently (Most classes),"No, but I would like to",Rarely,Very dissatisfied,Starting a business,15–30 minutes,"Academic workload, Family responsibilities, Availability of resources (e.g., library, online materials)","Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,Easy (Manage to pay without much difficulty),"Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,Very high stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"Yes, frequently",Never,Neutral,Starting a business,31–60 minutes,Academic workload,"Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),BS in Information technology ,"Academic performance (e.g., high school grades, CGPA)",Below 50k,Easy (Manage to pay without much difficulty),"No, my university does not offer financial aid or scholarships.",2.6 - 3.0,High stress,Not very supportive or approachable,Rarely (Seldom used),"No, but I would like to",Frequently,Dissatisfied,Seeking employment,More than 90 minutes,I does not satisfy with some teachers  in my college because they give me very little knowledge about any topic andI think most of the people are new in teaching profession . I also dissatisfied with their teachering methods. ,"No, I wouldn't suggest it",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams), Extracurricular achievements (e.g., sports, arts, leadership roles)",Below 50k,Very easy (I do not face any financial difficulty in paying my fees),"Yes, I am currently receiving financial aid or a scholarship.",3.6 - 4.0,Very high stress,Very supportive and approachable,Very frequently (Almost every class),"Yes, frequently",Frequently,Very dissatisfied,"Planning to pursue further education (e.g., graduate or professional studies)",60– 90 minutes,"Availability of resources (e.g., library, online materials)",I'm unsure/Not sure yet,,,
Male,Public School (Government-funded),Public (Government-funded),"Sciences (e.g., Physics, Chemistry, Biology)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,"Difficult (Often face financial stress, but manage with some support)","No, my university does not offer financial aid or scholarships.",2.6 - 3.0,Moderate stress,"Neutral (Supportive at times, less approachable)",Rarely (Seldom used),"No, but I would like to",Rarely,Neutral,Seeking employment,More than 90 minutes,Financial constraints,"No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,High stress,Supportive but not very approachable,Frequently (Most classes),"Yes, frequently",Frequently,Satisfied,Starting a business,15–30 minutes,Academic workload,"Yes, with some reservations",,,
Female,Public School (Government-funded),Public (Government-funded),"Business and Management (e.g., Marketing, Finance, HR)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Supportive but not very approachable,Frequently (Most classes),"No, but I would like to",Rarely,Dissatisfied,Seeking employment,15–30 minutes,"Academic workload, Support from peers and faculty","No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",Below 50k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Very supportive and approachable,Occasionally (Some classes),"Yes, occasionally",Rarely,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",60– 90 minutes,Family responsibilities,"Yes, definitely",,,
Male,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,"Moderate (Occasionally experience financial strain, but manageable)","No, my university does not offer financial aid or scholarships.",3.1 - 3.5,Moderate stress,"Neutral (Supportive at times, less approachable)",Very frequently (Almost every class),"Yes, occasionally",Never,Dissatisfied,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,"Academic workload, Financial constraints, Family responsibilities, Availability of resources (e.g., library, online materials)","Yes, with some reservations",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",Below 50k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,High stress,Supportive but not very approachable,Frequently (Most classes),"No, but I would like to",Frequently,Neutral,Seeking employment,60– 90 minutes,"Academic workload, Family responsibilities","Yes, with some reservations",,,
